Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),Reported,Reported,111,111,0.7947434300695637,0.8939050991866341,2.7117117117117115,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),No reported,No reported,313038,313038,0.2785884108398856,0.1537677479544684,7.041499754023473,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),< 0.50,< 0.50,252822,252822,0.1714613813913291,0.1258763325162323,7.078533513697384,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.50,>= 0.50,60327,60327,0.7284924844118748,0.7378410256857967,6.87832976942331,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.85,>= 0.85,14226,14226,0.891648526581456,0.891693970409728,6.660199634472093,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.90,>= 0.90,5619,5619,0.9163292921480696,0.9159864548810568,6.573767574301477,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ChyTryPep_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,Reported,Reported,54,54,0.7813022416720097,0.8875006962292589,2.333333333333333,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,No reported,No reported,154512,154512,0.2398068302235092,0.1478991048674201,6.052397224811018,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,< 0.50,< 0.50,134560,134560,0.1738256769861662,0.1318066590618561,6.02099435196195,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.50,>= 0.50,20006,20006,0.6850564919167564,0.6755088275553836,6.2535739278216536,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
