Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),Reported,Reported,201,201,0.9174227575671641,0.99845004,3.2139303482587063,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ChyTryPep.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ChyTryPep.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ChyTryPep.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),No reported,No reported,312948,312948,0.8988709117089742,0.9951506000000001,7.042422383271342,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ChyTryPep.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ChyTryPep.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ChyTryPep.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,Reported,Reported,124,124,0.9256082241370969,0.9985918300000001,2.943548387096774,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ThePap.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ThePap.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ThePap.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,No reported,No reported,154442,154442,0.8256697184390352,0.9925898,6.053592934564432,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ThePap.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ThePap.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ThePap.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,Reported,Reported,104,104,0.9223507748653845,0.9985918300000001,2.8653846153846154,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_PepPan.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_PepPan.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_PepPan.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,No reported,No reported,138275,138275,0.7225519344394771,0.9367945,5.987756282769842,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_PepPan.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_PepPan.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_PepPan.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,Reported,Reported,73,73,0.8935884215890411,0.99451274,2.7945205479452055,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ProteinaseK.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ProteinaseK.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_ProteinaseK.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,No reported,No reported,188845,188845,0.8008254968418599,0.9535267,6.410050570573751,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ProteinaseK.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ProteinaseK.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_ProteinaseK.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,Reported,Reported,96,96,0.8734591029479167,0.99568075,3.2291666666666665,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Thermolysin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Thermolysin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Thermolysin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,No reported,No reported,431128,431128,0.8356663465473592,0.9864167,7.7320378170752075,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Thermolysin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Thermolysin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Thermolysin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,Reported,Reported,139,139,0.8824372307769783,0.9979005,2.935251798561151,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Papain.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Papain.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Papain.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,No reported,No reported,335891,335891,0.7002891220817367,0.9045969,6.744372430341986,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Papain.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Papain.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Papain.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),Reported,Reported,215,215,0.9083598828697674,0.9979454,2.9953488372093022,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Pepsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Pepsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Pepsin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),No reported,No reported,437181,437181,0.7518339941353855,0.9252079,9.418520018024571,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Pepsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Pepsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Pepsin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Chymotrypsin,Chymotrypsin,Chymotrypsin,Reported,Reported,148,148,0.8866694184256756,0.997261945,3.0135135135135136,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Chymotrypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Chymotrypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Chymotrypsin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Chymotrypsin,Chymotrypsin,Chymotrypsin,No reported,No reported,458207,458207,0.8337653799175524,0.979098,8.052877847784954,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Chymotrypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Chymotrypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Chymotrypsin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Trypsin,Trypsin,Trypsin,Reported,Reported,175,175,0.8748656207428569,0.99665964,4.177142857142857,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Trypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Trypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_reported_Trypsin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Trypsin,Trypsin,Trypsin,No reported,No reported,385929,385929,0.8218238816629784,0.96634763,10.015303332996483,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Trypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Trypsin.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_no_reported_Trypsin.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
