method_id,method_name,tier_id,display_probability,count,download_file,relative_path,mean_final_prob,median_final_prob,mean_length
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),lt_0.50,< 0.50,24855,umami_probability_ChyTryPep_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_lt_0.50.csv.gz,0.2434384673833847,0.2261386215686798,5.866264333132166
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),gte_0.50,>= 0.50,288294,umami_probability_ChyTryPep_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.50.csv.gz,0.9553914666175842,0.9962153434753418,7.1411545158761545
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),gte_0.90,>= 0.90,248521,umami_probability_ChyTryPep_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.90.csv.gz,0.9888462424278259,0.9973136186599731,7.148985397612274
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),gte_0.95,>= 0.95,232029,umami_probability_ChyTryPep_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.95.csv.gz,0.9931723475456238,0.99763423204422,7.137818979524111
ThePap,Thermolysin + Papain,lt_0.50,< 0.50,24678,umami_probability_ThePap_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ThePap_lt_0.50.csv.gz,0.20708094537258148,0.17385464906692505,5.4706216062890025
ThePap,Thermolysin + Papain,gte_0.50,>= 0.50,129888,umami_probability_ThePap_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.50.csv.gz,0.943293571472168,0.996314287185669,6.161385193397389
ThePap,Thermolysin + Papain,gte_0.90,>= 0.90,107432,umami_probability_ThePap_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.90.csv.gz,0.9892293214797974,0.9977315068244934,6.18926390647107
ThePap,Thermolysin + Papain,gte_0.95,>= 0.95,100366,umami_probability_ThePap_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.95.csv.gz,0.9935491681098938,0.9979958534240723,6.194508100352709
PepPan,Pepsin + Pancreatic,lt_0.50,< 0.50,37413,umami_probability_PepPan_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_PepPan_lt_0.50.csv.gz,0.2119787484407425,0.18143045902252197,5.692673669580093
PepPan,Pepsin + Pancreatic,gte_0.50,>= 0.50,100966,umami_probability_PepPan_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.50.csv.gz,0.9119508862495422,0.9908710718154907,6.093883089356813
PepPan,Pepsin + Pancreatic,gte_0.90,>= 0.90,73631,umami_probability_PepPan_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,0.9864462614059448,0.996773898601532,6.092121524901197
PepPan,Pepsin + Pancreatic,gte_0.95,>= 0.95,66964,umami_probability_PepPan_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,0.9922831654548645,0.9973466992378235,6.0821187503733345
ProteinaseK,Proteinase K,lt_0.50,< 0.50,30535,umami_probability_ProteinaseK_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_lt_0.50.csv.gz,0.2772780954837799,0.2758640944957733,5.993384640576387
ProteinaseK,Proteinase K,gte_0.50,>= 0.50,158383,umami_probability_ProteinaseK_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.50.csv.gz,0.9018040895462036,0.980377733707428,6.488714066534919
ProteinaseK,Proteinase K,gte_0.90,>= 0.90,108818,umami_probability_ProteinaseK_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.90.csv.gz,0.9827548861503601,0.9945723414421082,6.429873734124869
ProteinaseK,Proteinase K,gte_0.95,>= 0.95,95789,umami_probability_ProteinaseK_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.95.csv.gz,0.9903002977371216,0.9959546327590942,6.400139890801658
Thermolysin,Thermolysin,lt_0.50,< 0.50,59078,umami_probability_Thermolysin_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Thermolysin_lt_0.50.csv.gz,0.23173105716705322,0.21377842128276825,6.745962964216798
