Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),< 0.50,< 0.50,24855,24855,0.2434384673833847,0.2261386215686798,5.866264333132166,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.50,>= 0.50,288294,288294,0.9553914666175842,0.9962153434753418,7.1411545158761545,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.90,>= 0.90,248521,248521,0.988846242427826,0.9973136186599731,7.148985397612274,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),>= 0.95,>= 0.95,232029,232029,0.9931723475456238,0.99763423204422,7.137818979524111,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ChyTryPep_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,< 0.50,< 0.50,24678,24678,0.2070809453725814,0.173854649066925,5.4706216062890025,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.50,>= 0.50,129888,129888,0.943293571472168,0.996314287185669,6.161385193397389,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.90,>= 0.90,107432,107432,0.9892293214797974,0.9977315068244934,6.18926390647107,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.95,>= 0.95,100366,100366,0.9935491681098938,0.9979958534240724,6.194508100352709,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ThePap_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,< 0.50,< 0.50,37413,37413,0.2119787484407425,0.1814304590225219,5.692673669580093,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.50,>= 0.50,100966,100966,0.9119508862495422,0.9908710718154908,6.093883089356813,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.90,>= 0.90,73631,73631,0.9864462614059448,0.996773898601532,6.092121524901197,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.95,>= 0.95,66964,66964,0.9922831654548644,0.9973466992378236,6.082118750373335,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
